6500 56 15 1 20 30 668 904 LQFP-100-14x20x1.4 checkme
5000 60 11 1 25 25 660 660 QFP-100-14x14x1.4-Motorola checkme
8000 71 18 1 11 11 550 550 PQ44-10x10x2.0-Xilinx checkme
6500 71 15 1 40 40 1258 1258 PQ160-28x28x3.4-Xilinx checkme
5000 60 11 1 52 52 1235 1235 PQ208-28x28x3.4-Xilinx checkme
5000 60 11 1 60 60 1392 1392 PQ240-32x32x3.4-Xilinx checkme
8000 60 18 1 11 11 512 512 LQFP-44-10x10x1.4-Cirrus checkme
5000 60 11 1 16 16 502 502 TQFP-64-10x10x1.0-Cirrus checkme
5000 60 11 1 20 20 581 581 TQFP-80-12x12x1.0-Cirrus checkme
6500 67 15 1 20 30 717 953 MQFP-100-14x20x2.7-Cirrus checkme
5000 58 11 1 25 25 680 680 LQFP-100-14x14x1.4-Cirrus checkme
4000 58 9 1 30 30 680 680 LQFP-120-14x14x1.4-Cirrus checkme
8000 67 18 1 32 32 1296 1296 MQFP-128-28x28x3.5-Cirrus checkme
5000 67 11 1 26 38 745 981 MQFP-128-14x20x2.7-Cirrus checkme
4000 60 9 1 32 32 660 660 LQFP-128-14x14x1.4-Cirrus checkme
5000 60 11 1 26 38 660 896 LQFP-128-14x20x1.4-Cirrus checkme
6500 67 15 1 36 36 1268 1268 MQFP-144-28x28x3.5-Cirrus checkme
5000 60 11 1 36 36 896 896 LQFP-144-20x20x1.4-Cirrus checkme
6500 67 15 1 40 40 1268 1268 MQFP-160-28x28x3.5-Cirrus checkme
4000 60 9 1 44 44 900 900 LQFP-176-20x20x1.4-Cirrus checkme
5000 60 11 1 44 44 1054 1054 LQFP-176-24x24x1.4-Cirrus checkme
4000 60 9 1 46 46 904 904 LQFP-184-20x20x1.4-Cirrus checkme
5000 60 11 1 52 52 1245 1245 MQFP-208-28x28x3.5-Cirrus checkme
5000 60 11 1 52 52 1227 1227 LQFP-208-28x28x1.4-Cirrus checkme
5000 54 11 1 60 60 1402 1402 MQFP-240-32x32x3.5-Cirrus checkme
4000 56 9 1 64 64 1235 1235 MQFP-256-28x28x3.5-Cirrus checkme
4000 58 9 1 64 64 1223 1223 LQFP-256-28x28x2.0-Cirrus checkme
6500 50 15 1 0 14 310 405 RS-28 AD922x
12700 50 20 1 0 14 400 710 R-28 AD922x
8000 54 18 1 0 25 497 826 TSOP-50-RAM 4M x 16 EDO RAM
5000 51 11 1 0 20 823 398 TSOP-40-Flash 8-bit Flash
6500 53 16 1 20 30 730 967 QFP-100-Ethernet SMC LAN91C96
5080 46 11 1 0 5 220 124 uMAX-10 MAX1692 regulator
12700 45 20 1 0 8 395 500 SOIC-16-xformer HALO TG04-1006
5000 60 10 1 52 52 1220 1220 LQFP-208 Cirrus EP7211
5000 41 11 1 0 43 470 880 TSOP-84-RAM 2M x 32 SDRAM
5000 60 11 1 20 20 590 590 TSB41LV03A IEEE-1394 PHY
5000 60 11 1 25 25 660 660 TQFP-100 Xilinx XC9500
36000 161 83 1 0 2 600 230 CM309 Citizen Crystal series
8000 42 20 1 0 4 93 126 EXB-38V Panasonic resistor array
25400 100 65 1 0 3 300 310 BH292 MiniCircuits mixer
6500 30 15 1 13 13 472 472 AD6644 LQFP-52-12x12x1.6-AD
8000 35 20 1 0 8 106 252 CTS-742-8 resistor pack
12700 51 31 1 0 4 169 251 CTS-744-4 resistor pack
5000 60 11 1 12 12 384 384 ADS808 Burr Brown ADC
5000 60 11 1 12 12 384 384 AD9765 ST-48 thin QFP
5000 64 11 1 36 36 906 906 TQFP-144 Xilinx XCV50
