97		.0059
96		.0063
95		.0067
94		.0071
93		.0075
92		.0079
91		.0083
90		.0087
89		.0091
88		.0095
87		.0100
86		.0105
85		.0110
84		.0115
83		.0120
82		.0125
81		.0130
80		.0135
79		.0145
78		.0160
77		.0180
76		.0200
75		.0210
74		.0225
73		.0240
72		.0250
71		.0260
70		.0280
69		.0292
68		.0310
67		.0320
66		.0330
65		.0350
64		.0360
63		.0370
62		.0380
61		.0390
60		.0400
59		.0410
58		.0420
57		.0430
56		.0465
55		.0520
54		.0550
53		.0595
52		.0635
51		.0670
50		.0700
49		.0730
48		.0760
47		.0785
46		.0810
45		.0820
44		.0860
43		.0890
42		.0935
41		.0960
40		.0980
39		.0995
38		.1015
37		.1040
36		.1065
35		.1100
34		.1110
33		.1130
32		.1160
31		.1200
30		.1285
29		.1360
28		.1405
27		.1440
26		.1470
25		.1495
24		.1520
23		.1540
22		.1570
21		.1590
20		.1610
19		.1660
18		.1695
17		.1730
16		.1770
15		.1800
14		.1820
13		.1850
12		.1890
11		.1910
10		.1935
9		.1960
8		.1990
7		.2010
6		.2040
5		.2055
4		.2090
3		.2130
2		.2210
1		.2280


