0.20_mm  	.00787
0.25_mm 	.00984
0.30_mm  	.0118
0.35_mm 	.0138
0.40_mm  	.0158
0.45_mm 	.0177
0.50_mm  	.0197
0.55_mm 	.0217
0.60_mm  	.0236
0.65_mm 	.0256
0.70_mm 	.0276
0.75_mm		.0295
0.80_mm		.0315
0.85_mm		.0335
0.90_mm		.0354
0.95_mm		.0374
1.00_mm		.0394
1.05_mm		.0413
1.10_mm		.0433
1.15_mm		.0453
1.20_mm		.0472
1.25_mm		.0492
1.30_mm		.0512
1.35_mm		.0531
1.40_mm		.0551
1.45_mm		.0571
1.50_mm		.0591
1.55_mm		.0610
1.60_mm		.0630
1.65_mm		.0650
1.70_mm		.0669
1.75_mm		.0689
1.80_mm		.0709
1.85_mm		.0728
1.90_mm		.0748
1.95_mm		.0768
2.00_mm		.0787
2.05_mm		.0807
2.10_mm		.0827
2.15_mm		.0846
2.20_mm		.0866
2.25_mm		.0886
2.30_mm		.0906
2.35_mm		.0925
2.40_mm		.0945
2.45_mm		.0965
2.50_mm		.0984
2.55_mm		.1004
2.60_mm		.1024
2.65_mm		.1043
2.70_mm		.1063
2.75_mm		.1083
2.80_mm		.1102
2.85_mm		.1122
2.90_mm		.1142
2.95_mm		.1161
3.00_mm		.1181
3.10_mm		.1220
3.15_mm		.1240
3.20_mm		.1260
3.25_mm		.1280
3.30_mm		.1299
3.40_mm		.1339
3.50_mm		.1378
3.60_mm		.1417
3.70_mm		.1457
3.75_mm		.1476
3.80_mm		.1496
3.90_mm		.1535
4.00_mm		.1575
4.10_mm		.1614
4.20_mm		.1654
4.25_mm		.1673
4.30_mm		.1693
4.40_mm		.1732
4.50_mm		.1772
4.60_mm		.1811
4.70_mm		.1850
4.75_mm		.1870
4.80_mm		.1890
4.90_mm		.1929
5.00_mm		.1969
5.10_mm		.2008
5.20_mm		.2047
5.25_mm		.2067
5.30_mm		.2087
5.40_mm		.2126
5.50_mm		.2165
5.60_mm		.2205
5.70_mm		.2244
5.75_mm		.2264
5.80_mm		.2283
5.90_mm		.2323
6.00_mm		.2362
6.10_mm		.2402
6.20_mm		.2441
6.25_mm		.2461
6.30_mm		.2480
6.40_mm		.2520
6.50_mm		.2559
6.60_mm		.2598
6.70_mm		.2638
6.75_mm		.2657
6.80_mm		.2677
6.90_mm		.2717
7.00_mm		.2756
7.10_mm		.2795
7.20_mm		.2835
7.25_mm		.2854
7.30_mm		.2874
7.40_mm		.2914
7.50_mm		.2953
7.60_mm		.2992
7.70_mm		.3031
8.00_mm		.3150
8.10_mm		.3189
8.20_mm		.3228
8.25_mm		.3248
8.30_mm		.3268
8.40_mm		.3307
8.50_mm		.3346
8.60_mm		.3386
8.70_mm		.3425
8.75_mm		.3445
8.80_mm		.3465
8.90_mm		.3504
9.00_mm		.3543
9.10_mm		.3583
9.20_mm		.3622
9.25_mm		.3642
9.30_mm		.3661
9.40_mm		.3701
9.50_mm		.3740
9.60_mm		.3780
9.70_mm		.3819
9.75_mm		.3839
9.80_mm		.3858
9.90_mm		.3898
10.00_mm	.3937
10.10_mm	.3976
10.20_mm	.4016
10.25_mm	.4035
10.30_mm	.4055
10.40_mm	.4094
10.50_mm	.4134
10.60_mm	.4173
10.70_mm	.4213
10.80_mm	.4252
10.90_mm	.4291
11.00_mm	.4331
11.10_mm	.4370
11.20_mm	.4409
11.25_mm	.4429
11.30_mm	.4449
11.40_mm	.4488
11.50_mm	.4528
11.60_mm	.4567
11.70_mm	.4606
11.75_mm	.4626
11.80_mm	.4646
11.90_mm	.4685
12.00_mm	.4724
12.50_mm	.4921
13.00_mm	.5118
13.50_mm	.5315
14.00_mm	.5512
14.50_mm	.5709
15.00_mm	.5906
15.50_mm	.6102
16.00_mm	.6299
16.50_mm	.6496
17.00_mm	.6693
17.50_mm	.6890
18.00_mm	.7087
18.50_mm	.7283
19.00_mm	.7480
19.50_mm	.7677
20.00_mm	.7874
20.50_mm	.8071
21.00_mm	.8268
21.50_mm	.8465
22.00_mm	.8661
22.50_mm	.8858
23.00_mm	.9055
23.50_mm	.9252
24.00_mm	.9449
24.50_mm	.9646
25.00_mm	.9843

